consom,breakdown,currency,geo\time	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
4161901,DP_NC,NAT,HU	17.6262 	17.2487 	18.6111 	: 	18.1600 	16.2423 	13.8460 	15.6660 
4161901,DP_NC,NAT,IE	0.1967 	0.1996 	0.1781 	0.1731 	: 	: 	: 	: 
4161901,DP_NC,NAT,IS	34.6082 	35.6297 	21.5379 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,IT	0.0741 	0.0689 	0.0668 	0.0907 	0.0963 	0.0996 	0.1014 	: 
4161901,DP_NC,NAT,LI	0.0833 	: 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,LT	0.1414 	0.1493 	0.2047 	0.2200 	0.2007 	0.1526 	0.1388 	0.1664 
4161901,DP_NC,NAT,LU	0.1150 	0.1137 	0.1153 	0.1112 	0.1150 	0.1107 	0.1260 	0.1254 
4161901,DP_NC,NAT,LV	0.0564 	0.0396 	0.0396 	0.0396 	0.0328 	0.0328 	0.0328 	0.0234 
4161901,DP_NC,NAT,ME	0.0787 	0.0792 	0.0728 	0.0516 	: 	: 	: 	: 
4161901,DP_NC,NAT,MT	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0000 
4161901,DP_NC,NAT,NL	0.1203 	0.1900 	0.1991 	0.2068 	0.1775 	0.1960 	0.1365 	0.1361 
4161901,DP_NC,NAT,NO	1.9478 	1.9662 	1.9729 	2.0180 	1.9948 	1.8442 	1.7719 	1.7262 
4161901,DP_NC,NAT,PL	0.3490 	0.3485 	0.3358 	0.3382 	0.3159 	0.2970 	0.2995 	0.2947 
4161901,DP_NC,NAT,PT	0.1176 	0.0979 	0.0857 	0.1183 	0.1299 	0.1362 	0.1597 	: 
4161901,DP_NC,NAT,RO	0.2326 	0.2339 	0.2193 	0.2108 	0.2118 	0.2093 	0.2024 	0.1863 
4161901,DP_NC,NAT,RS	15.6123 	16.3945 	: 	: 	: 	: 	: 	: 
4161901,DP_NC,NAT,SE	1.8542 	1.6207 	1.6040 	1.5238 	1.5060 	1.3770 	1.3720 	1.4020 
4161901,DP_NC,NAT,SI	0.0789 	0.0964 	0.1002 	0.1023 	0.1161 	0.1442 	0.1042 	: 
4161901,DP_NC,NAT,SK	0.1311 	0.1356 	0.1302 	0.1252 	0.1163 	0.1223 	4.0300 	3.8500 
4161901,DP_NC,NAT,TR	0.0853 	0.0789 	0.0782 	0.0710 	0.0384 	0.0327 	0.0272 	: 
4161901,DP_NC,NAT,UK	0.0416 	0.0378 	0.0323 	0.0317 	: 	0.0440 	0.0390 	: 
